PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
1,2025-09-26,36:39.5,"Cowan, Zac",828823,Right,LSU_FAL,,Sinker,Live,,88.93381,-1.564444663,-3.843468829,2416.896871,223.3576263,1:30,5.15026,1.26732,,-21.93373,14.76302,13.971,1.84628,-1.1914,80.37312,-5.644792287,-1.239986703,0.435998722,-8.54532,8.25966,-0.91871,50,4.98759,8.15294,-128.88125,-4.32158,-14.22344,29.38741,-18.42608,ecf6c8bc-49f2-48ac-a403-8234b8ff9fde,0dcc11b8-717d-41f8-b3f1-ad65852e2ded,,Pitching,22280001,,,,,,,,,,,,,,,,,,,,22.61169734,2231.114217,0.923131741,
2,2025-09-26,36:55.6,"Cowan, Zac",828823,Right,LSU_FAL,,Sinker,Live,,89.07909,,,2376.963356,,,5.14274,1.3624,5.19437,,,,0.71384,-1.64581,79.68764,-7.407656266,-1.286556764,0.43822299,-11.86043,5.80936,-0.92256,50,4.91278,10.32931,-128.74401,-6.07296,-19.45263,32.40909,-22.64595,8a2139b4-1c8c-4bd1-955c-987e8af29f09,0dcc11b8-717d-41f8-b3f1-ad65852e2ded,86.01201,Pitching,22280001,,,,,,,,,,,,,,,,,,,,19.76558952,2236.922272,0.941084037,
3,2025-09-26,37:16.0,"Cowan, Zac",828823,Right,LSU_FAL,,Slider,Live,,82.12483,,,2556.695631,,,5.09897,1.26568,5.2759,,,,0.25739,-2.3925,74.9697,-9.683635331,-4.582785389,0.471418536,2.69646,-1.92114,-0.9626,50,4.97644,7.02643,-119.10745,-3.56842,3.81931,25.86768,-34.89518,8d4e3997-8364-4342-b357-fe26c11c73bf,0dcc11b8-717d-41f8-b3f1-ad65852e2ded,79.95536,Pitching,22280001,,,,,,,,,,,,,,,,,,,,,,,
4,2025-09-26,37:37.6,"Cowan, Zac",828823,Right,LSU_FAL,,Slider,Live,,81.09142,,,2579.165936,,,5.03037,1.37211,,,,,1.19851,-0.81227,74.45424,-9.298253252,-2.83112186,0.486658474,2.45775,-5.71878,-1.16505,50,5.07385,3.84367,-117.58817,-0.32143,3.42831,23.07484,-40.15115,61317cee-a6f7-4006-82eb-69c02ba734d1,0dcc11b8-717d-41f8-b3f1-ad65852e2ded,,Pitching,22280001,,,,,,,,,,,,,,,,,,,,,,,
5,2025-09-26,38:03.1,"Cowan, Zac",828823,Right,LSU_FAL,,Sinker,Live,,88.92683,-2.149760179,-3.804804788,2447.246348,231.1582368,1:45,4.92875,1.43744,5.68932,-23.8581,12.12634,15.07291,0.93184,-0.8574,80.52149,-6.623802672,-0.968031182,0.431746425,-9.27179,7.17756,-1.12681,50,4.73305,8.07502,-128.94937,-5.64364,-15.44137,29.54,-20.22044,827351c2-7520-467b-9a73-e1aa206b1774,0dcc11b8-717d-41f8-b3f1-ad65852e2ded,87.30226,Pitching,22280001,,,,,,,,,,,,,,,,,,,,25.08808849,2216.365708,0.905656968,
6,2025-09-26,38:31.1,"Cowan, Zac",828823,Right,LSU_FAL,,Slider,Live,,81.46455,,,,,,5.29423,1.06566,9.41979,,,,0.67137,-1.12437,75.3151,,,0.435363383,5.27685,-1.74115,-1.03465,50,5.26497,3.45854,-119.17218,-3.38741,7.53414,24.438,-34.66001,12ebea7c-7af7-4de6-9720-9db0d10ca984,0dcc11b8-717d-41f8-b3f1-ad65852e2ded,86.57696,Pitching,22280001,,,,,,,,,,,,,,,,,,,,,,,
7,2025-09-26,39:19.7,"Cowan, Zac",828823,Right,LSU_FAL,,Sinker,Live,,88.85383,-0.992901152,-3.330793146,2410.755409,249.2178061,2:15,4.88255,1.43071,5.42345,-30.27481,5.99536,15.85972,1.42809,-0.37059,80.66414,-6.640456292,-0.361228987,0.433457136,-9.44105,3.48833,-1.14607,50,4.77379,6.95285,-128.94254,-3.29119,-15.75607,28.9945,-26.35241,e26f69d4-b155-456d-a3e3-1d30e0d021e1,0dcc11b8-717d-41f8-b3f1-ad65852e2ded,86.95771,Pitching,22280001,,,,,,,,,,,,,,,,,,,,3.527791375,2406.187195,0.998105069,
8,2025-09-26,39:43.6,"Cowan, Zac",828823,Right,LSU_FAL,,Slider,Live,,81.09894,1.207398161,-1.621579228,,,,4.99722,1.60389,,-53.71358,-6.55808,-0.15036,1.70166,0.00626,74.25658,-8.364061322,-1.648529385,0.494239622,-0.38497,-3.5499,-1.39396,50,5.0814,3.33151,-117.45462,0.17874,-0.5369,22.58903,-37.12489,2c8a4d3b-5b79-4bcc-9518-07b574b80fd1,0dcc11b8-717d-41f8-b3f1-ad65852e2ded,,Pitching,22280001,,,,,,,,,,,,,,,,,,,,,,,
9,2025-09-26,40:08.7,"Cowan, Zac",828823,Right,LSU_FAL,,Sinker,Live,,89.61798,,,2324.133191,,,4.98861,1.26952,,,,,1.01897,0.83516,80.04758,-6.90882578,1.393194909,0.433280297,-10.64246,5.57514,-1.09409,50,4.80712,4.14731,-129.95246,-5.09529,-17.70782,34.08235,-22.89766,0a20acb1-c9ce-4757-a41d-0a3ad7a13e22,0dcc11b8-717d-41f8-b3f1-ad65852e2ded,,Pitching,22280001,,,,,,,,,,,,,,,,,,,,13.16332803,2263.066263,0.973724859,
10,2025-09-26,40:32.3,"Cowan, Zac",828823,Right,LSU_FAL,,Fastball,Live,,90.41502,,,2438.204485,,,5.03354,1.09119,,,,,3.61223,-0.08214,80.18498,-3.689916541,0.302058196,0.427500009,-9.30414,7.28455,-0.87852,50,5.05388,5.53306,-131.17348,0.19374,-15.73499,35.3346,-19.85457,a15db43c-01e4-42bc-91c3-b3523e599dbf,0dcc11b8-717d-41f8-b3f1-ad65852e2ded,,Pitching,22280001,,,,,,,,,,,,,,,,,,,,,,,
