id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at
1,"Kiemele, Cody",10/10/25,79.84102,11.02556,-1.82492,ChangeUp,Sweeper,NA,173580.0,5e2f8d50-a629-11f0-ae75-978fb1879089,2025
2,"Cohen, Andrew",2025-10-17,82.48142,-17.10296,7.28142,Slider,Sweeper,"Cohen, Andrew",2025-10-20 03:12:54.302592,55cdba80-abbd-11f0-89e1-4103db18a83a,2025
3,"Cohen, Andrew",2025-10-17,82.09567,-13.39804,8.09725,Slider,Sweeper,"Cohen, Andrew",2025-10-20 03:12:54.302592,8365a250-abbd-11f0-89e1-4103db18a83a,2025
4,"Cohen, Andrew",2025-10-17,82.36127,-11.9028,3.68634,Slider,Sweeper,"Cohen, Andrew",2025-10-20 03:12:54.302592,bfd48530-abbd-11f0-89e1-4103db18a83a,2025
5,"Frey, Chase",2025-10-03,79.76291,4.75638,0.6537,Slider,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,5d921fa0-a0a9-11f0-ab93-d3d7d90e7a19,2025
6,"Frey, Chase",2025-10-03,80.05687,7.38815,0.90441,Slider,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,a5001a90-a0a9-11f0-ab93-d3d7d90e7a19,2025
7,"Frey, Chase",2025-10-03,79.96886,2.35008,-0.22606,Slider,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,e88346c0-a0a9-11f0-ab93-d3d7d90e7a19,2025
8,"Frey, Chase",2025-10-03,80.68395,8.29205,5.23839,Slider,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,0bc5eb10-a0aa-11f0-ab93-d3d7d90e7a19,2025
9,"Frey, Chase",2025-10-03,78.36369,3.99827,-1.95847,Slider,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,15659a30-a0aa-11f0-ab93-d3d7d90e7a19,2025
10,"Frey, Chase",2025-10-11,77.6797,7.05146,-2.53622,Sweeper,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,611fde50-a70c-11f0-942a-a51a1eb7334d,2025
11,"Frey, Chase",2025-10-11,77.18349,6.34225,3.93445,Sweeper,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,a2813bf0-a70c-11f0-942a-a51a1eb7334d,2025
12,"Frey, Chase",2025-10-11,76.15095,7.53906,1.33764,Sweeper,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,ac961b10-a70c-11f0-942a-a51a1eb7334d,2025
13,"Frey, Chase",2025-10-11,78.47279,5.87855,0.76764,Sweeper,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,197e0cb0-a70d-11f0-942a-a51a1eb7334d,2025
14,"Frey, Chase",2025-10-11,79.19854,5.77095,0.71035,Sweeper,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,2380ea70-a70d-11f0-942a-a51a1eb7334d,2025
15,"Frey, Chase",2025-10-18,80.24493,1.77858,-2.23665,Slider,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,1bb42d80-ac66-11f0-aabc-cd59143e66a4,2025
16,"Frey, Chase",2025-10-18,79.09218,4.74634,1.08504,Cutter,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,84214560-ac66-11f0-aabc-cd59143e66a4,2025
17,"Frey, Chase",2025-10-18,78.25887,5.73658,0.48654,Slider,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,473928f0-ac68-11f0-aabc-cd59143e66a4,2025
