player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-11-02,11:05:53 AM,1,1,"Schmidt, William",815537,Right,LSU_TIG,"Ince, Jeffrey",1000052092,Left,SAM_BUL,Windup,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,92.49663,-3.667524,-2.013131,2233.147044,209.603254,1:00,6.142647,1.642895,6.66792,-15.493837,16.85228,8.842623,1.491749,0.537303,83.874756,-6.598588,-0.325917,0.409338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.818016,11.325814,-1.512304,50,5.889681,4.454136,-134.384412,-9.090584,-9.926216,32.176178,-13.32348,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-1,b0217cce-7fdf-3d7c-8d27-818d2e6fb96d,92.586532,NA,NA,8.669753,2.476368,1.613732,-0.543698,NA,NA,NA,tvluvuk8,11/2/2025,05:52.6,2025-11-02T11:05:52.6039229-06:00,2025-11-02T17:05:52.6039229Z,NA,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,NA,"Arrambide, Cade",806679,Right,LSU_TIG,cc57c80f-4fa8-4df1-9660-758fddaf6ee1,54.132977,-135.37037,16.088089,6.161984,-8.682319,-6.66174,-1.653449,4.758299,-4.963108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.253293,NA,1.871103,NA,NA,NA,NA,-4.355534,5.311225,0.558619,NA,NA,NA,-158.484122,75.473852,-3.458441,-112.994124,86.620715,-15.234978,5.903723,-4.152111,0.792926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-11-02,11:06:05 AM,1,2,"Schmidt, William",815537,Right,LSU_TIG,"Ince, Jeffrey",1000052092,Left,SAM_BUL,Windup,1,Top,0,1,0,Fastball,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,92.677946,-2.711821,-2.694147,2315.513445,215.83844,1:15,5.97463,1.994659,6.453862,-13.522436,18.4047,9.391964,2.354932,0.300757,84.65262,-5.263561,-0.912011,0.406679,79.78644,59.885491,-110.543375,4701.11175,-37.296027,116.856509,-103.484406,227.238411,169.229726,-110.369321,5.388794,-5.182055,11.699664,-1.808686,50,5.776417,6.050944,-134.7401,-6.804801,-10.856416,29.572424,-12.191088,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-1,926274d9-d591-3bb8-a727-affa02944e58,92.834236,118.178723,3.717435,8.038372,2.278578,2.434043,-0.31474,2.01528,2.368985,-0.459262,tvluvuk8,11/2/2025,06:05.5,2025-11-02T11:06:05.4635989-06:00,2025-11-02T17:06:05.4635989Z,NA,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,NA,"Arrambide, Cade",806679,Right,LSU_TIG,41e1af78-066a-40a1-a84b-586b5312c6bc,54.134295,-135.64445,14.786212,5.978813,-6.431987,-6.095544,-1.998805,6.382942,-5.428208,178.927481,10.691764,-22.64009,2.887654,-0.731491,0.195491,-0.051172,0.009677,-0.000993,0.000041,-41.92124,121.638114,-29.698606,3.082999,-0.11297,-0.101899,0.023228,-0.001915,0.000053,22.27964,-59.334037,7.567821,-1.917057,0.512332,-0.134109,0.02536,-0.002602,0.000107,47.929111,NA,3.692711,NA,NA,NA,NA,-2.806526,5.80772,1.448823,NA,NA,NA,-376.474799,113.12009,-5.358828,-313.639955,142.845907,-15.836563,20.85416,-7.624781,0.705243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-11-02,11:06:23 AM,1,3,"Schmidt, William",815537,Right,LSU_TIG,"Ince, Jeffrey",1000052092,Left,SAM_BUL,Windup,1,Top,0,1,1,Fastball,Fastball,InPlay,Undefined,FlyBall,Out,1,0,ReportType:HE|Version:1|Revision:0,93.147807,-2.8716,-2.891162,2277.823637,221.622002,1:30,6.068463,1.734224,6.486358,-12.592379,18.900629,8.520578,2.38068,-0.212166,85.429287,-5.240826,-1.278625,0.403904,98.55244,18.921416,5.622393,1081.635603,109.454477,30.704083,10.902359,301.886637,266.027491,5.262017,3.196411,-4.770663,11.908985,-1.535546,50,5.860951,6.574688,-135.426159,-7.191838,-10.148882,28.608096,-11.387288,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-1,63f9f1f3-8d01-305b-bcfa-ef56fdc10360,93.524703,35.881691,2.691495,7.735473,2.674097,2.495444,0.183591,1.607027,2.220997,0.312997,tvluvuk8,11/2/2025,06:23.2,2025-11-02T11:06:23.1879516-06:00,2025-11-02T17:06:23.1879516Z,NA,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,NA,"Arrambide, Cade",806679,Right,LSU_TIG,e6b18ef1-9e97-4b26-89ee-bcf2c560c6dc,54.132636,-136.296362,14.304048,6.074445,-6.845459,-5.693644,-1.74023,6.883397,-5.074441,178.014678,-57.911273,159.503108,-31.712799,6.676424,-0.374519,-0.370474,0.138075,-0.020971,0.001227,-19.480454,60.976002,-17.841929,-0.591366,1.382422,-0.621414,0.141063,-0.015757,0.000663,-5.948659,17.074429,-4.339198,1.045062,-0.116164,-0.030919,0.015176,-0.002479,0.000151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-11-02,11:06:58 AM,2,1,"Schmidt, William",815537,Right,LSU_TIG,"Harris, Jackson",1000106835,Left,SAM_BUL,Windup,1,Top,1,0,0,Fastball,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,93.404056,-2.453376,-2.555101,2235.036587,224.274145,1:30,6.111938,1.698955,6.397677,-14.005779,17.574002,9.835744,2.687397,0.167486,84.847434,-5.106337,-0.683162,0.40446,78.117932,10.18391,-173.226436,59.048348,-109.083731,6.005862,-14.1207,137.699991,22.05745,-172.670605,1.42395,-5.409161,11.256697,-1.520501,50,5.929444,5.755072,-135.778271,-6.255327,-11.432532,31.641903,-12.885083,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-1,dc77e84f-265f-3cea-b882-ce00bbcda2de,93.246448,9.535684,0.220461,8.561494,2.057753,2.744514,-0.175283,2.119203,2.725142,-0.180792,tvluvuk8,11/2/2025,06:58.4,2025-11-02T11:06:58.3782418-06:00,2025-11-02T17:06:58.3782418Z,NA,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,NA,"Arrambide, Cade",806679,Right,LSU_TIG,e9961d03-a35a-4b50-8517-7b2b514fa818,54.133296,-136.738105,15.820952,6.113266,-5.864467,-6.442542,-1.700337,6.10187,-5.716266,190.710727,47.955191,-117.403789,-0.040977,24.966794,-30.494477,20.856027,-8.257587,1.738971,-0.147862,-8.334828,31.25777,1.22774,-38.986922,44.373916,-28.774108,10.605767,-1.991919,0.13716,5.565004,-14.717219,-0.005137,3.129727,-3.822653,2.614419,-1.035135,0.21799,-0.018535,41.585862,NA,3.174551,NA,NA,NA,NA,-3.849937,5.213087,0.502885,NA,NA,NA,-263.278869,85.321457,-3.586275,-241.370849,122.418745,-14.954281,23.784648,-12.830886,1.767472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-11-02,11:07:13 AM,2,2,"Schmidt, William",815537,Right,LSU_TIG,"Harris, Jackson",1000106835,Left,SAM_BUL,Windup,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,77.636095,1.825771,-0.584696,2703.027476,32.490032,7:00,6.277069,1.932952,6.078661,-53.084559,-7.495285,-6.118669,3.543074,0.882153,71.140776,-8.218915,-1.748984,0.485963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.797431,-1.006306,-1.884972,50,6.393209,1.310239,-112.955014,2.234236,4.097087,21.658008,-38.155098,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-1,08b5c7e3-8c07-365c-9b06-8bef36e66d86,77.164114,NA,NA,6.456074,3.041817,3.772896,-0.931206,NA,NA,NA,tvluvuk8,11/2/2025,07:13.4,2025-11-02T11:07:13.4059743-06:00,2025-11-02T17:07:13.4059743Z,NA,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,NA,"Arrambide, Cade",806679,Right,LSU_TIG,5b9d9005-7f09-48fc-8efd-79602599cae2,54.134566,-113.745014,10.829004,6.28633,3.625985,-19.077549,-1.930039,1.160793,2.048544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.706071,NA,1.584138,NA,NA,NA,NA,-4.376046,4.986452,0.939754,NA,NA,NA,-161.221922,84.576011,-4.25524,-88.501398,74.234252,-14.044363,11.506481,-7.896639,1.348818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-11-02,11:07:26 AM,2,3,"Schmidt, William",815537,Right,LSU_TIG,"Harris, Jackson",1000106835,Left,SAM_BUL,Windup,1,Top,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,77.761002,-0.43736,-1.572341,2782.787718,31.681165,7:00,6.436852,2.00842,5.90987,-59.143182,-13.208558,-1.736347,1.102684,0.404159,71.201319,-11.593997,-1.90443,0.4878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38685,-3.186503,-1.881626,50,6.374629,3.147118,-113.037346,-2.372672,0.559401,23.918745,-41.241744,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-1,b4bcd0be-db60-35db-ae45-9e1ed9b898fa,76.644528,NA,NA,6.495376,3.104575,1.443067,-0.460127,NA,NA,NA,tvluvuk8,11/2/2025,07:26.3,2025-11-02T11:07:26.2637655-06:00,2025-11-02T17:07:26.2637655Z,NA,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,NA,"Arrambide, Cade",806679,Right,LSU_TIG,96346629-2c7f-4e53-a03d-dbed9e748e2b,54.134873,-113.908927,11.959373,6.433706,-0.869855,-20.620872,-1.995933,3.126734,0.279701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.884001,NA,1.663366,NA,NA,NA,NA,-4.866067,4.791362,0.773109,NA,NA,NA,-151.79965,75.87344,-3.51868,-105.228701,83.264686,-14.931574,6.131604,-3.963402,0.68448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-11-02,11:07:38 AM,2,4,"Schmidt, William",815537,Right,LSU_TIG,"Harris, Jackson",1000106835,Left,SAM_BUL,Windup,1,Top,1,2,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,83.14843,-1.927277,-1.666466,2561.069211,36.093938,7:15,6.230381,1.851981,6.410707,-36.975446,2.696167,-4.988383,1.376667,-0.096145,76.499532,-8.879509,-2.614017,0.453327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.979264,4.47366,-1.730665,50,6.075345,3.65821,-121.005436,-5.09424,3.333269,24.485133,-29.155856,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-1,01288f0a-c2a9-3000-85df-cb1f398e5767,83.215474,NA,NA,6.654728,3.131127,1.640827,0.018411,NA,NA,NA,tvluvuk8,11/2/2025,07:38.2,2025-11-02T11:07:38.2361449-06:00,2025-11-02T17:07:38.2361449Z,NA,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,NA,"Arrambide, Cade",806679,Right,LSU_TIG,72799917-e851-467a-9b15-7081e7262374,54.133852,-121.839039,12.242566,6.231883,-4.101621,-14.577928,-1.853278,3.544728,1.666635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.572631,NA,1.544404,NA,NA,NA,NA,-3.659503,5.198601,0.822048,NA,NA,NA,-142.916547,77.430649,-3.866033,-90.586486,78.014595,-15.050939,4.990179,-4.29306,1.104567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-11-02,11:07:54 AM,2,5,"Schmidt, William",815537,Right,LSU_TIG,"Harris, Jackson",1000106835,Left,SAM_BUL,Windup,1,Top,1,2,2,Curveball,Curveball,InPlay,Undefined,LineDrive,Out,1,0,ReportType:HE|Version:1|Revision:0,80.033921,0.371619,0.092647,2831.368129,35.874588,7:15,6.400872,1.496535,6.27276,-50.978797,-7.767777,-14.737472,2.495185,0.353811,72.968562,-9.288774,-2.724865,0.473117,82.699766,10.166129,39.278449,3741.09507,84.427273,7.465464,70.501283,149.100659,68.840709,40.238184,1.428833,7.153043,-0.964348,-1.496512,50,6.404566,0.199727,-116.473775,-0.586907,11.013779,25.073423,-38.120461,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-1,fb37d9a6-b3ef-3944-8019-2bfd757676d8,79.537761,9.65839,0.599852,7.051739,3.501725,2.828539,-0.450719,3.526293,2.854073,-0.550174,tvluvuk8,11/2/2025,07:53.8,2025-11-02T11:07:53.8192738-06:00,2025-11-02T17:07:53.8192738Z,NA,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,NA,"Arrambide, Cade",806679,Right,LSU_TIG,ee771be6-72ee-4469-b201-3205dbf22dc7,54.134732,-117.360488,12.536711,6.401484,0.761209,-19.06023,-1.496688,-0.189772,5.506889,234.385353,-38.245046,93.780376,3.778146,-26.860064,30.547016,-19.823235,7.508302,-1.524128,0.126134,-9.95653,30.965038,8.153043,-49.379084,52.647562,-32.387908,11.416722,-2.071535,0.140566,-37.235942,82.362814,3.318165,-23.589908,26.827982,-17.409798,6.594182,-1.338569,0.110778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-11-02,11:08:22 AM,3,1,"Schmidt, William",815537,Right,LSU_TIG,"Carr, Caden",1000090767,Right,SAM_BUL,Windup,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,83.091414,1.495945,-1.245512,2776.078885,41.343424,7:30,6.390103,1.558149,5.981096,-42.390073,-2.820389,-7.151808,4.244588,-0.192378,76.360972,-6.512508,-2.600992,0.452744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.13863,0.963784,-1.456555,50,6.488313,2.827245,-120.925936,1.984449,5.308082,23.328648,-35.079655,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-1,75b78e1c-0276-33e7-9335-e899051bc298,82.676722,NA,NA,6.678307,1.978619,4.308432,0.166887,NA,NA,NA,tvluvuk8,11/2/2025,08:21.9,2025-11-02T11:08:21.9225193-06:00,2025-11-02T17:08:21.9225193Z,NA,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,NA,"Arrambide, Cade",806679,Right,LSU_TIG,45c6ca13-796b-4adf-873b-6b34ae3377d2,54.133085,-121.720666,11.664324,6.400354,3.179497,-17.539827,-1.54979,2.646416,2.654041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.246763,NA,1.454812,NA,NA,NA,NA,-4.316614,4.8055,1.608157,NA,NA,NA,-128.303593,71.947252,-3.643071,-88.362541,78.19008,-15.385383,9.804824,-6.800716,1.312553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-11-02,11:08:33 AM,3,2,"Schmidt, William",815537,Right,LSU_TIG,"Carr, Caden",1000090767,Right,SAM_BUL,Windup,1,Top,2,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,83.099932,-2.090562,-2.996149,2610.709588,30.074343,7:00,6.268367,1.540568,6.513159,-39.88209,-0.180579,-7.30031,1.025916,-1.819309,76.858442,-9.54736,-4.377101,0.453498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.77135,3.132003,-1.32846,50,6.10388,6.526857,-120.845927,-5.51863,4.666872,23.857723,-31.422298,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-1,4bdafe7c-ea90-37af-85f8-e55112925ea2,83.340816,NA,NA,6.2601,2.260578,1.167364,1.754846,NA,NA,NA,tvluvuk8,11/2/2025,08:33.2,2025-11-02T11:08:33.1632942-06:00,2025-11-02T17:08:33.1632942Z,NA,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,NA,"Arrambide, Cade",806679,Right,LSU_TIG,6d9ae1ef-27b6-44e5-8761-1c5a3ca31aca,54.134965,-121.659524,11.928862,6.273806,-4.447066,-15.711149,-1.548325,6.367707,2.333436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.784372,NA,1.852222,NA,NA,NA,NA,-3.833473,4.728762,1.539045,NA,NA,NA,-164.362622,79.460681,-4.267013,-111.045002,83.112943,-14.269467,24.040316,-15.119273,2.324819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
