PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-11-02,4:32:48 PM,1,1,"Paz, Marcos",1000164464,Right,LSU_TIG,"Nelms, Easton",1000112194,Left,SAM_BUL,Stretch,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,96.710575,-4.27799,-4.168132,128.580414,5.66496,6:15,6.198836,3.111596,5.799344,-14.185401,16.06398,11.632555,1.030846,0.197716,86.20883,-6.962816,-1.937596,0.395849,,,,,,,,,,,,-6.94595,11.211878,-2.774297,50,5.839909,9.821058,-139.76452,-10.923182,-15.222833,39.108692,-12.021199,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-3,93c11257-b7f9-3cf6-b911-2f4e50fb5f66,94.264349,,,10.39456,3.913877,1.332728,-0.284948,,,,jltc45hf,11/2/2025,32:47.7,2025-11-02T16:32:47.6641495-06:00,2025-11-02T22:32:47.6641495Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,,"Serna, Omar",1000135689,Right,LSU_TIG,4b9c8ae3-dcb1-40b4-9ca9-52d51af1554a,54.133902,-140.916514,19.554346,6.156449,-10.569082,-6.0106,-3.070193,10.269465,-7.611417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.391227,,1.540033,,,,,-4.90117,5.434422,0.417041,,,,-125.695143,68.405871,-3.103798,-79.932106,72.786476,-14.819878,1.566686,-0.508461,-0.044114,,,,,,,,
2,2025-11-02,4:33:05 PM,1,2,"Paz, Marcos",1000164464,Right,LSU_TIG,"Nelms, Easton",1000112194,Left,SAM_BUL,Stretch,1,Top,0,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,96.106995,-0.932233,-3.872223,120.695869,342.942105,5:30,6.249538,3.051939,5.569157,-15.580912,14.343894,10.52358,4.080565,0.30646,87.086774,-3.888986,-1.87357,0.39372,,,,,,,,,,,,-6.077348,9.185821,-2.722942,50,6.162094,9.104363,-139.445624,-2.768293,-13.559218,33.171716,-16.185842,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-3,70c4ba52-aad1-39f8-a578-cd8617b07239,94.375851,,,8.889586,1.858656,4.110564,-0.321016,,,,jltc45hf,11/2/2025,33:04.5,2025-11-02T16:33:04.5484594-06:00,2025-11-02T22:33:04.5484594Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,,"Serna, Omar",1000135689,Right,LSU_TIG,58f3eee9-f0a4-4406-ae74-2d923b4711f2,54.133153,-140.425388,16.585858,6.236798,-2.290226,-8.092921,-2.997764,9.50485,-6.779609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.645123,,1.396405,,,,,-3.064569,6.933067,1.929711,,,,-133.511746,80.070996,-4.022373,-62.54041,65.07995,-14.675321,8.08415,-4.663306,0.684483,,,,,,,,
3,2025-11-02,4:33:22 PM,1,3,"Paz, Marcos",1000164464,Right,LSU_TIG,"Nelms, Easton",1000112194,Left,SAM_BUL,Stretch,1,Top,0,2,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,95.032001,-2.016675,-3.953039,181.112523,95.762299,9:15,6.185,3.134013,5.512708,-18.873496,11.643203,17.360968,2.726143,0.878452,86.614496,-5.579615,-0.660995,0.397594,,,,,,,,,,,,-9.330795,8.190574,-2.797209,50,6.000475,8.977991,-137.840213,-5.458408,-20.44993,31.046869,-18.74633,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-3,f60429d9-eea8-3024-bfcd-6eefdda15399,93.361709,,,8.284709,3.43249,2.920481,-0.904275,,,,jltc45hf,11/2/2025,33:22.0,2025-11-02T16:33:21.9754921-06:00,2025-11-02T22:33:21.9754921Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,,"Serna, Omar",1000135689,Right,LSU_TIG,576fd01e-8d9c-43c8-8d9a-6225d889e017,54.134608,-138.768359,15.523434,6.155277,-4.897986,-9.373165,-3.074745,9.589342,-10.224965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.247356,,2.503885,,,,,-3.898316,5.079427,1.507106,,,,-250.022423,99.187312,-4.949206,-143.45012,92.706137,-14.308267,3.379312,0.601323,-0.429639,,,,,,,,
4,2025-11-02,4:33:42 PM,1,4,"Paz, Marcos",1000164464,Right,LSU_TIG,"Nelms, Easton",1000112194,Left,SAM_BUL,Stretch,1,Top,0,2,1,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,96.702408,-2.28725,-5.094651,1682.935617,236.119119,1:45,6.183751,3.11712,5.441624,-15.528498,14.110113,15.63124,2.747307,-0.363212,87.796526,-5.213699,-2.134565,0.391832,,,,,,,,,,,,-8.815299,9.42396,-2.673128,50,5.974022,11.980176,-139.977033,-6.105864,-19.877758,32.644294,-15.43952,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-3,0b6b0ca6-4bd1-3e54-b4b6-f6e5f7716457,94.613445,,,8.755352,3.620033,2.945933,0.278276,,,,jltc45hf,11/2/2025,33:41.7,2025-11-02T16:33:41.7407867-06:00,2025-11-02T22:33:41.7407867Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,,"Serna, Omar",1000135689,Right,LSU_TIG,e58d6d9f-23e4-4730-ab65-dc9d5f064466,54.132988,-140.937599,16.322147,6.147004,-5.651552,-7.71976,-3.034253,12.565084,-9.938879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.363494,,1.422714,,,,,-5.73945,5.241118,0.411406,,,,-117.229445,66.733794,-2.916004,-77.560862,73.817736,-15.532994,3.120842,-1.874002,0.209872,,,,,,,,
5,2025-11-02,4:33:59 PM,1,5,"Paz, Marcos",1000164464,Right,LSU_TIG,"Nelms, Easton",1000112194,Left,SAM_BUL,Stretch,1,Top,0,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,89.064097,-1.067275,-2.95014,304.111993,24.692591,6:45,6.279431,3.046777,5.480936,-35.828619,-1.396823,-1.417255,2.295855,0.166246,82.288362,-7.790798,-3.21785,0.422329,,,,,,,,,,,,-0.000728,1.923047,-2.787478,50,6.169623,6.712961,-129.441541,-3.479852,-0.002246,25.747802,-32.984484,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-3,2838d541-e7c2-375f-b4a8-e2961179e634,87.837728,,,6.659324,3.132644,2.527284,-0.262588,,,,jltc45hf,11/2/2025,33:59.1,2025-11-02T16:33:59.0658980-06:00,2025-11-02T22:33:59.0658980Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,,"Serna, Omar",1000135689,Right,LSU_TIG,7cd757b1-19ea-4cf9-be6a-6153c6127818,54.13325,-130.26111,12.873901,6.263679,-2.429935,-16.492242,-3.001157,6.713033,-0.001123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.798159,,1.325529,1.107161,,,,-2.134055,5.975754,0.979911,70.994633,6.553216,-54.516817,-147.687977,93.820433,-6.033121,-65.763784,65.852314,-14.193429,111.452434,-71.211424,4.581071,,,,,,,,
6,2025-11-02,4:34:25 PM,2,1,"Paz, Marcos",1000164464,Right,LSU_TIG,"Carr, Caden",1000090767,Right,SAM_BUL,Stretch,1,Top,1,0,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,96.773501,-3.056696,-3.824724,62.506251,0.494844,6:00,6.155123,3.014991,5.593527,-15.729205,13.514019,13.846178,1.988103,0.592566,88.899039,-6.005601,-1.20986,0.38921,13.091694,59.778583,-56.597253,769.604975,,,,10.648606,4.426303,-59.671165,1.011041,-7.512143,9.204083,-2.693312,50,5.88537,8.937543,-140.37731,-8.018443,-17.228062,29.835626,-15.626217,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-3,bbf4ec45-d7d4-3601-83d0-1cac90258641,95.503618,4.003507,0.349443,7.762384,3.628315,2.218169,-0.641694,0.094657,-0.218493,-1.18078,jltc45hf,11/2/2025,34:25.1,2025-11-02T16:34:25.0794238-06:00,2025-11-02T22:34:25.0794238Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,,"Serna, Omar",1000135689,Right,LSU_TIG,8cdf803e-d5d8-4290-b95f-97d0c33bebdf,54.133376,-141.253081,14.917813,6.114005,-7.559764,-7.813108,-2.963079,9.443242,-8.614031,180,-2.074626,5.47429,-0.325904,0.517081,-0.990567,1.238305,-0.877721,0.323469,-0.04868,-8.082706,15.289068,42.096078,-125.504035,155.319319,-111.573341,43.725215,-7.573628,0.187404,2.108767,-8.301331,0.494208,-0.784113,1.502117,-1.877792,1.330995,-0.490515,0.073819,44.304079,,4.362606,,,,,-1.236062,6.204711,1.630983,,,,-415.41126,110.340165,-4.877867,-384.631733,155.881682,-15.495502,90.600261,-23.782594,1.064726,,,,,,,,
7,2025-11-02,4:34:49 PM,2,2,"Paz, Marcos",1000164464,Right,LSU_TIG,"Carr, Caden",1000090767,Right,SAM_BUL,Stretch,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,89.385298,-1.939375,-1.354987,2667.363685,89.534666,9:00,6.285768,3.05954,5.480271,-35.455992,-0.85638,-2.207426,1.516791,1.607754,81.592232,-8.632199,-1.775658,0.423357,,,,,,,,,,,,0.70172,2.439761,-2.93982,50,6.099906,3.136619,-129.854545,-5.444175,1.351895,29.615564,-31.961325,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-3,d8cc28cb-ba0d-3b56-9fb2-155b2a94c93b,87.635109,,,7.661686,2.801061,1.724631,-1.65053,,,,jltc45hf,11/2/2025,34:49.2,2025-11-02T16:34:49.1978438-06:00,2025-11-02T22:34:49.1978438Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,,"Serna, Omar",1000135689,Right,LSU_TIG,f50bbdb6-6cc4-48f5-9d84-bc98d834cd3d,54.134897,-130.79418,14.807782,6.256551,-4.430114,-15.980663,-3.038657,3.093726,0.675948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.817401,,2.788094,,,,,-3.13182,3.630906,2.50519,,,,-238.746531,85.073118,-3.645113,-203.27374,114.051159,-15.45221,29.064534,-12.775516,1.402892,,,,,,,,
8,2025-11-02,4:35:08 PM,2,3,"Paz, Marcos",1000164464,Right,LSU_TIG,"Carr, Caden",1000090767,Right,SAM_BUL,Stretch,1,Top,1,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,91.540144,-2.965472,-2.935446,2635.031587,189.423088,12:15,6.200014,3.13306,5.408649,-31.220923,1.720094,-0.78295,0.818397,0.31545,83.983395,-8.818643,-3.083872,0.413086,,,,,,,,,,,,-0.366101,3.825085,-2.871637,50,5.922037,6.832959,-132.790538,-7.832934,-0.74524,29.438762,-28.924511,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-3,0c444db5-e2a0-3492-88d1-ce6158de8bd2,89.695678,,,7.42059,3.32333,1.110767,-0.418157,,,,jltc45hf,11/2/2025,35:08.1,2025-11-02T16:35:08.1104651-06:00,2025-11-02T22:35:08.1104651Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,,"Serna, Omar",1000135689,Right,LSU_TIG,ab81aacf-83bf-4a3c-9910-ddf74e0ae33a,54.134518,-133.70399,14.719381,6.15116,-6.935438,-14.462255,-3.084015,6.856083,-0.37262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.781752,,2.524112,,,,,-2.668206,4.726415,3.005386,,,,-224.55364,87.302149,-4.003393,-155.082404,96.939364,-14.480038,21.394454,-8.955201,0.917351,,,,,,,,
9,2025-11-02,4:35:28 PM,2,4,"Paz, Marcos",1000164464,Right,LSU_TIG,"Carr, Caden",1000090767,Right,SAM_BUL,Stretch,1,Top,1,1,2,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,96.490467,-3.019625,-6.259807,2462.574743,236.125534,1:45,6.088764,3.126603,5.649104,-14.461121,15.358907,16.680751,2.064865,-1.344945,87.807881,-5.720897,-3.114286,0.39303,,,,,,,,,,,,-9.558528,10.244589,-2.602132,50,5.824817,14.757168,-139.384208,-7.851633,-21.447269,31.446984,-13.71778,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-3,d3bad49a-703d-3f40-ba25-e61bc3a9ebc2,94.674672,,,8.568263,1.742537,2.097633,1.327081,,,,jltc45hf,11/2/2025,35:27.6,2025-11-02T16:35:27.5951161-06:00,2025-11-02T22:35:27.5951161Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,,"Serna, Omar",1000135689,Right,LSU_TIG,a24e4753-0b21-4cc4-bcbc-802b13beb3bf,54.13405,-140.313806,15.723492,6.050924,-7.446124,-6.85889,-3.047737,15.391166,-10.723634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.461028,,1.997092,,,,,-4.4832,3.810987,2.957073,,,,-232.779381,112.519364,-7.113733,-112.027153,85.570778,-15.524476,23.143659,-10.8234,0.99474,,,,,,,,
10,2025-11-02,4:35:46 PM,2,5,"Paz, Marcos",1000164464,Right,LSU_TIG,"Carr, Caden",1000090767,Right,SAM_BUL,Stretch,1,Top,1,2,2,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,95.995244,-2.141206,-4.56016,2402.619586,220.538141,1:15,6.114337,3.051578,5.555397,-15.608537,14.387838,14.16885,2.812456,-0.037284,87.260382,-5.086359,-1.875215,0.39419,88.101917,14.579077,47.216357,5010.682705,68.399581,20.11053,86.153583,225.615418,166.439943,56.709307,2.377319,-7.969166,9.530836,-2.663614,50,5.921852,10.645139,-139.109832,-5.711008,-17.756704,32.092396,-15.457615,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-3,a475b884-fdbc-31c4-bdc8-c141957d7609,94.238666,20.347489,1.627926,8.605383,1.99597,2.863876,0.018138,0.504956,2.716426,0.013179,jltc45hf,11/2/2025,35:46.1,2025-11-02T16:35:46.1109275-06:00,2025-11-02T22:35:46.1109275Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,,"Serna, Omar",1000135689,Right,LSU_TIG,e81b40df-ecfc-46a0-a09e-4b3be6200d71,54.133466,-140.060169,16.046198,6.084192,-5.253269,-7.728807,-2.986629,11.17096,-8.878352,231.01358,-39.556856,110.198705,-28.758856,-0.420421,6.726052,-4.282244,1.393485,-0.238361,0.016911,-10.988916,38.328636,-6.578982,-7.903323,5.310232,-2.157779,0.502199,-0.056318,0.00185,-36.604241,91.914234,-0.278665,-4.011154,2.219191,-0.773487,0.152886,-0.012971,0.000017,45.783204,,3.19452,,,,,-2.655866,6.383075,1.923993,,,,-314.575614,106.170166,-5.364957,-197.41841,104.303689,-13.239876,-8.556462,2.598089,0.08981,,,,,,,,
