PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-11-02,1:36:44 PM,1,1,"Evans, Casan",815786,Right,LSU_TIG,"Ince, Jeffrey",1000052092,Left,SAM_BUL,Windup,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,96.435333,-2.432447,-1.931708,2481.366347,213.892534,1:15,6.037641,2.338476,6.230801,-11.61315,18.11862,8.246839,2.824723,1.243132,87.194991,-4.639002,-0.358103,0.392448,,,,,,,,,,,,-4.507935,11.418502,-2.198337,50,5.850769,4.465284,-140.16918,-6.326554,-10.104677,34.993132,-11.062987,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-2,99aaf507-9a35-3c5e-a994-afa0287eb085,95.813589,,,9.217663,2.911056,2.945058,-1.253151,,,,z3lwlkb8,11/2/2025,36:43.9,2025-11-02T13:36:43.8992857-06:00,2025-11-02T19:36:43.8992857Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,,"Arrambide, Cade",806679,Right,LSU_TIG,be86390e-f6af-4993-a6d0-6fa69c90d2ab,54.134269,-141.197525,17.496566,6.031911,-6.001446,-5.531494,-2.333922,4.762231,-5.052338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2025-11-02,1:36:55 PM,1,2,"Evans, Casan",815786,Right,LSU_TIG,"Ince, Jeffrey",1000052092,Left,SAM_BUL,Windup,1,Top,0,1,0,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-2,993de97f-9dbb-425c-af73-0d335baf8e23,,,,,,,,,,,z3lwlkb8,11/2/2025,36:55.2,2025-11-02T13:36:55.1990000-06:00,2025-11-02T19:36:55.1990000Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,,"Arrambide, Cade",806679,Right,LSU_TIG,993de97f-9dbb-425c-af73-0d335baf8e23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2025-11-02,1:37:07 PM,1,3,"Evans, Casan",815786,Right,LSU_TIG,"Ince, Jeffrey",1000052092,Left,SAM_BUL,Windup,1,Top,0,1,1,Fastball,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,97.730611,-2.944787,-3.29191,2553.227284,209.919609,1:00,6.071209,2.35319,6.267419,-10.753462,18.470587,5.765121,2.458138,-0.204264,87.733589,-4.986052,-2.189889,0.389083,,,,,,,,,,,,-3.751769,11.785371,-2.112415,50,5.848154,7.970715,-141.782551,-7.647679,-8.533563,38.015661,-9.821019,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-2,25da54ea-289e-36f5-92a3-0ee5c7fae43d,96.705659,,,9.979152,2.119984,2.519355,0.177258,,,,z3lwlkb8,11/2/2025,37:06.5,2025-11-02T13:37:06.5144373-06:00,2025-11-02T19:37:06.5144373Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,,"Arrambide, Cade",806679,Right,LSU_TIG,9c528d2f-7c1d-4692-8880-3908b85c6713,54.133725,-142.886614,19.00783,6.066118,-7.362454,-4.910509,-2.347502,8.218549,-4.266781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2025-11-02,1:37:36 PM,1,4,"Evans, Casan",815786,Right,LSU_TIG,"Ince, Jeffrey",1000052092,Left,SAM_BUL,Windup,1,Top,0,1,2,ChangeUp,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,87.072287,-0.454898,-2.110996,1315.568367,239.789609,2:00,5.832966,2.373546,6.195433,-32.983615,3.726946,12.286662,2.664443,1.447937,78.410448,-6.74754,0.243937,0.436081,,,,,,,,,,,,-6.575063,4.397368,-2.220565,50,5.783498,4.315383,-126.57673,-1.945941,-11.898422,30.658719,-28.661089,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-2,b3bcc30f-1d5e-3ce7-bd6f-e409ca49b4f5,86.172255,,,8.633691,2.512142,2.792609,-1.443824,,,,z3lwlkb8,11/2/2025,37:36.2,2025-11-02T13:37:36.1888867-06:00,2025-11-02T19:37:36.1888867Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,,"Arrambide, Cade",806679,Right,LSU_TIG,4dcd0690-553f-40a5-a361-cebc1efffa04,54.133831,-127.574075,15.32936,5.831635,-1.01358,-14.330544,-2.367243,4.702445,-5.949211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.330666,,2.03023,,,,,-3.284,5.339764,1.198375,,,,-175.326413,79.462698,-3.935349,-134.088958,94.196146,-15.27093,2.288662,-0.807082,0.147998,,,,,,,,
5,2025-11-02,1:37:49 PM,1,5,"Evans, Casan",815786,Right,LSU_TIG,"Ince, Jeffrey",1000052092,Left,SAM_BUL,Windup,1,Top,0,2,2,ChangeUp,ChangeUp,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-2,b87561e3-0c34-410f-8939-bb7d194c8625,,,,,,,,,,,z3lwlkb8,11/2/2025,37:49.1,2025-11-02T13:37:49.1330000-06:00,2025-11-02T19:37:49.1330000Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,,"Arrambide, Cade",806679,Right,LSU_TIG,b87561e3-0c34-410f-8939-bb7d194c8625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2025-11-02,1:38:18 PM,2,1,"Evans, Casan",815786,Right,LSU_TIG,"Harris, Jackson",1000106835,Left,SAM_BUL,Windup,1,Top,1,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,96.7551,-2.547914,-3.975138,2545.715694,213.152993,1:00,6.000014,2.481583,6.11078,-13.038681,16.387252,10.827006,2.556216,-0.297321,88.123647,-5.005545,-1.922966,0.390424,,,,,,,,,,,,-6.204194,10.547967,-2.181648,50,5.798147,9.410164,-140.413856,-6.679409,-14.09551,32.488879,-12.733149,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-2,f1f813b1-f5c8-3ff1-a247-63917840f2bf,96.099557,,,8.591021,1.902748,2.598712,0.280905,,,,z3lwlkb8,11/2/2025,38:17.9,2025-11-02T13:38:17.9430941-06:00,2025-11-02T19:38:17.9430941Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,,"Arrambide, Cade",806679,Right,LSU_TIG,18e7c499-0922-4e5d-a28e-82d1d703ceda,54.133515,-141.367031,16.24444,5.988631,-6.305838,-6.366574,-2.463795,9.823705,-7.047755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2025-11-02,1:38:27 PM,2,2,"Evans, Casan",815786,Right,LSU_TIG,"Harris, Jackson",1000106835,Left,SAM_BUL,Windup,1,Top,1,0,1,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-2,e6619f1b-d854-41ca-8f49-01a612087470,,,,,,,,,,,z3lwlkb8,11/2/2025,38:27.3,2025-11-02T13:38:27.2620000-06:00,2025-11-02T19:38:27.2620000Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,,"Arrambide, Cade",806679,Right,LSU_TIG,e6619f1b-d854-41ca-8f49-01a612087470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2025-11-02,1:38:37 PM,2,3,"Evans, Casan",815786,Right,LSU_TIG,"Harris, Jackson",1000106835,Left,SAM_BUL,Windup,1,Top,1,0,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,97.079336,-1.245289,-1.878738,2562.174047,210.369126,1:00,6.292742,2.072996,6.162472,-12.864267,16.298043,7.462986,4.070342,0.958989,88.172228,-3.688723,-0.458526,0.388671,,,,,,,,,,,,-4.081673,10.147354,-1.934211,50,6.192384,4.392632,-141.235529,-3.485543,-9.345877,33.903189,-13.447246,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-2,c11e5c92-c741-3b35-ad6f-28254e07f468,96.62439,,,8.874044,2.187877,4.119811,-0.965326,,,,z3lwlkb8,11/2/2025,38:37.3,2025-11-02T13:38:37.3453044-06:00,2025-11-02T19:38:37.3453044Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,,"Arrambide, Cade",806679,Right,LSU_TIG,5c12e7b9-91ec-46a9-8321-80f8f85b493b,54.133993,-142.224421,16.951595,6.28833,-3.093312,-6.723623,-2.066311,4.665233,-4.672939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.42823,,1.873858,,,,,-3.91321,5.006856,1.673215,,,,-187.102915,91.997186,-4.875299,-97.132595,77.170669,-14.155292,11.175396,-7.20325,1.327473,,,,,,,,
9,2025-11-02,1:38:48 PM,2,4,"Evans, Casan",815786,Right,LSU_TIG,"Harris, Jackson",1000106835,Left,SAM_BUL,Windup,1,Top,1,1,2,ChangeUp,ChangeUp,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,87.265609,-2.129309,-3.876619,1419.890587,238.014104,2:00,5.954551,2.198842,6.291379,-32.123304,4.984635,18.234132,1.314769,0.140991,77.787052,-8.263835,-0.364695,0.438435,,,,,,,,,,,,-10.142384,5.613109,-1.922024,50,5.78299,8.057365,-126.498776,-5.619074,-18.080719,33.501925,-26.556482,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-2,943870f1-a045-3174-8925-c666731625fc,85.859628,,,9.465324,4.224787,1.71315,-0.164365,,,,z3lwlkb8,11/2/2025,38:48.3,2025-11-02T13:38:48.3134085-06:00,2025-11-02T19:38:48.3134085Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,,"Arrambide, Cade",806679,Right,LSU_TIG,f2edf83a-53b2-4a84-8bd1-27693a13a05e,54.135011,-127.589193,16.750962,5.951813,-4.754717,-13.278241,-2.193851,8.645854,-9.040359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2025-11-02,1:39:23 PM,2,5,"Evans, Casan",815786,Right,LSU_TIG,"Harris, Jackson",1000106835,Left,SAM_BUL,Windup,1,Top,1,1,2,Curveball,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,84.355783,-0.018853,-1.988903,2755.264152,16.664374,6:30,6.155628,2.172129,6.473835,-39.438683,-1.127738,-2.871549,2.851772,0.10585,77.788075,-7.449603,-2.532631,0.445485,,,,,,,,,,,,0.905464,2.058712,-2.030957,50,6.135682,4.347633,-122.866101,-1.151426,1.580868,23.912143,-33.113157,LSU_TIG,SAM_BUL,Keesler Federal Park,College,CBB,20251102-LSU-Private-2,68f8679d-ff72-3a84-a7c4-4b66c4e4f1ea,84.779105,,,6.581971,2.168503,2.949566,-0.139112,,,,z3lwlkb8,11/2/2025,39:23.2,2025-11-02T13:39:23.2252050-06:00,2025-11-02T19:39:23.2252050Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,5323,5308,,"Arrambide, Cade",806679,Right,LSU_TIG,41c8857a-b892-44a0-8271-c89bcb87a47f,54.134723,-123.66818,11.956071,6.155676,-0.040719,-16.556578,-2.1759,4.294607,0.790434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.815293,,1.893173,1.132621,,,,-1.838222,5.26058,-1.233588,75.841888,7.360451,-49.669562,-209.451499,102.377422,-5.816438,-123.722428,91.060949,-15.35424,146.519868,-76.932454,5.880966,,,,,,,,
