PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
1,2025-09-11,13:01:26.81,"Garcia, Santiago",10147459,Left,LSU_TIG,,Fastball,Live,,86.14371,0.1746497953,1.849277893,2158.619912,152.9219044,11:00,5.92994,-2.0485,5.29275,-15.75491,23.29892,-11.93483,4.78108,-1.30633,77.07507,-2.785527837,-0.3942831101,0.4497831991,6.94935,12.30149,1.88882,50,5.93468,-3.62993,-125.04568,-0.15649,10.79216,29.72655,-13.07016,0bef6077-d106-4f6d-a960-8bf2a77aaa5d,a8bd329d-812e-46e5-b54d-31d72d9cede3,83.80135,Pitching,22280001,,,,,,,,,,,,,,,,,,,147.7585949,-20.96576342,2015.707185,0.9337943994,11:00
2,2025-09-11,13:01:41.31,"Garcia, Santiago",10147459,Left,LSU_TIG,,Fastball,Live,,86.16462,0.8495031552,2.550083046,2204.375686,148.9873052,11:00,5.98553,-1.81897,5.61496,-18.94149,19.67814,-11.86427,5.20067,-0.42635,77.03122,-2.731021694,0.3071652413,0.4472758548,7.22589,10.27456,1.60887,50,6.04611,-5.18604,-125.072,1.24288,11.21708,29.92907,-16.22439,074eb5b7-1460-436a-b9e3-5f7ecc0412e7,a8bd329d-812e-46e5-b54d-31d72d9cede3,84.27112,Pitching,22280001,,,,,,,,,,,,,,,,,,,,-19.4306829,2078.824686,0.9430446446,
3,2025-09-11,13:01:55.16,"Garcia, Santiago",10147459,Left,LSU_TIG,,Fastball,Live,,86.72014,-2.650596771,2.825714896,2186.550905,146.4979831,11:00,5.86827,-1.83003,5.6065,-20.26506,17.71035,-11.72808,1.70081,-0.16786,78.39359,-6.447134088,0.6177168655,0.4435296559,7.17091,10.32034,1.59595,50,5.62857,-5.82408,-125.79364,-6.49564,11.34479,28.53352,-15.84668,8cbfd0dd-65a0-46e6-8132-03939a439033,a8bd329d-812e-46e5-b54d-31d72d9cede3,84.98291,Pitching,22280001,,,,,,,,,,,,,,,,,,,,-27.01333126,1948.000099,0.8909008681,
4,2025-09-11,13:02:09.08,"Garcia, Santiago",10147459,Left,LSU_TIG,,Fastball,Live,,87.90536,-2.50787058,3.632339941,2262.200583,149.1085967,11:00,5.86315,-1.84907,5.64967,-18.19919,18.81285,-11.26704,2.00152,0.60406,79.21298,-5.927057745,1.50975495,0.4378677083,7.21194,10.90122,1.54819,50,5.63892,-7.71747,-127.41783,-6.19152,11.68303,29.75273,-14.51455,fb9c7179-03fe-4562-b1a4-070902cc9395,a8bd329d-812e-46e5-b54d-31d72d9cede3,86.0818,Pitching,22280001,,,,,,,,,,,,,,,,,,,,-26.1665125,2030.361811,0.8975162621,
5,2025-09-11,13:02:29.97,"Garcia, Santiago",10147459,Left,LSU_TIG,,ChangeUp,Live,,79.19801,2.241207031,2.503373117,2219.1463,117.993971,10:00,5.50648,-2.07428,5.23909,-38.31416,7.97412,-15.12507,4.42292,-0.98064,71.14741,-4.930273253,-0.332222354,0.4896738649,8.81786,3.48858,1.8552,50,5.6849,-4.54153,-114.84046,3.28464,11.58415,24.4974,-27.59106,585ed64d-b29f-45e2-87b2-230f69585343,a8bd329d-812e-46e5-b54d-31d72d9cede3,76.97458,Pitching,22280001,,,,,,,,,,,,,,,,,,,,-24.16897798,2024.620218,0.9123419297,
6,2025-09-11,13:02:45.38,"Garcia, Santiago",10147459,Left,LSU_TIG,,ChangeUp,Live,,78.55587,-0.8307586235,2.585368616,2283.576005,125.4059687,10:15,5.67502,-2.02489,5.35149,-36.39721,10.35203,-14.61825,1.86199,-0.81688,71.0531,-7.624245529,-0.1592025297,0.4921060082,8.59865,5.76622,1.80258,50,5.57499,-4.69572,-114.00829,-2.78075,11.14305,23.97114,-24.70156,469f4102-a0c7-4084-a8fa-6065962e487c,a8bd329d-812e-46e5-b54d-31d72d9cede3,76.59415,Pitching,22280001,,,,,,,,,,,,,,,,,,,,-35.18955051,1866.252521,0.8172500133,
7,2025-09-11,13:03:03.46,"Garcia, Santiago",10147459,Left,LSU_TIG,,ChangeUp,Live,,78.64905,-1.22047896,2.884826318,2143.364429,138.867906,10:45,5.60058,-2.0858,5.41377,-31.12318,15.38262,-13.46958,1.86213,-0.50373,71.11385,-7.036231814,0.3555947207,0.4908230741,8.08803,8.57466,1.83866,50,5.4709,-5.33762,-114.12495,-3.38968,10.51645,23.76982,-21.02486,a832bf09-37ba-4c9d-9749-6e62723614ce,a8bd329d-812e-46e5-b54d-31d72d9cede3,76.79435,Pitching,22280001,,,,,,,,,,,,,,,,,,,,,,,
8,2025-09-11,13:03:38.68,"Garcia, Santiago",10147459,Left,LSU_TIG,,ChangeUp,Live,,79.47245,-0.9481769056,2.318938972,2210.635072,126.788773,10:15,5.60912,-2.01393,5.44403,-32.80941,12.6601,-16.97711,1.98653,-1.25656,71.87346,-7.083771472,-0.8733395783,0.4853237761,9.78858,7.04886,1.82062,50,5.50329,-4.14848,-115.38295,-2.92381,13.00174,24.41784,-22.81136,d98664c5-de15-41c8-85a6-92de24cf4b65,a8bd329d-812e-46e5-b54d-31d72d9cede3,77.66452,Pitching,22280001,,,,,,,,,,,,,,,,,,,,,,,
9,2025-09-11,13:03:56.63,"Garcia, Santiago",10147459,Left,LSU_TIG,,Fastball,Live,,86.99582,-2.483209769,2.578465571,2169.748044,148.875089,11:00,5.79225,-1.88911,5.78921,-17.76496,19.70697,-11.90541,1.99827,-0.48122,78.53171,-5.827421929,0.3281813381,0.4405796515,7.23781,11.41445,1.68402,50,5.57722,-5.30652,-126.26868,-6.04814,11.52667,28.9669,-13.99581,cc1dee8f-07cf-4f68-bd20-bdf7cec51ecd,a8bd329d-812e-46e5-b54d-31d72d9cede3,85.55193,Pitching,22280001,,,,,,,,,,,,,,,,,,,,-24.22911362,1978.618638,0.9119117048,
10,2025-09-11,13:04:14.11,"Garcia, Santiago",10147459,Left,LSU_TIG,,Fastball,Live,,87.75967,-0.6249876337,2.718334886,2264.643374,153.274441,11:00,5.83255,-1.73279,5.29363,-17.86854,19.58731,-9.88603,3.75608,-0.00271,79.06315,-3.967913809,0.8674220589,0.4404851298,6.09289,10.5712,1.49262,50,5.76299,-5.70199,-127.37056,-2.01547,9.88175,29.27137,-15.02916,92cbef5c-5415-4fd8-b45f-d1d9e657aa00,a8bd329d-812e-46e5-b54d-31d72d9cede3,85.57029,Pitching,22280001,,,,,,,,,,,,,,,,,,,,-15.76720872,2179.433146,0.9623736662,
