PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
1,2025-09-12,14:05:46.56,"Theophilus, Zion",812173,Right,LSU_TIG,,Fastball,Live,,92.13111,-4.177618123,-2.803018197,2312.308462,202.8253702,12:45,5.78831,1.99056,,-11.10523,25.38413,10.66489,0.84221,0.18745,81.15418,-6.226435144,-0.8252869643,0.4347649805,-6.51429,14.56217,-1.68815,50,5.30934,6.05277,-132.81234,-10.18101,-11.23854,37.47681,-7.05121,219672c6-8d0e-4a4c-b3ce-15a26602fe4d,5a144d3c-4d50-4680-97f1-a38462f0d772,,Pitching,22280001,,,,,,,,,,,,,,,,,,,,12.79507778,2254.890106,0.9751683837,
2,2025-09-12,14:06:04.26,"Theophilus, Zion",812173,Right,LSU_TIG,,Fastball,Live,,92.64613,-1.825454481,-2.118666082,2288.958996,198.0519318,12:30,5.82668,1.64372,,-13.48524,23.2031,7.5708,2.92953,0.21755,81.62988,-4.293319619,-0.7304289377,0.4359487382,-4.57663,12.28476,-1.39298,50,5.5867,4.60264,-133.76574,-4.8824,-8.02595,37.48378,-10.63049,8976f2aa-98e8-4671-82c7-2116ba3566ca,5a144d3c-4d50-4680-97f1-a38462f0d772,,Pitching,22280001,,,,,,,,,,,,,,,,,,,,6.273143424,2275.253356,0.9940122826,
3,2025-09-12,14:06:21.01,"Theophilus, Zion",812173,Right,LSU_TIG,,Slider,Live,,83.85692,-1.693676811,-4.698260976,2141.30096,154.9536169,11:15,5.64696,1.88745,,-39.73756,4.75023,-2.2462,0.70175,-2.82536,74.08316,-8.984071207,-5.113196728,0.4800559117,-0.74203,3.10734,-1.35231,50,5.41379,10.01348,-120.78818,-5.11519,-1.05102,32.55475,-27.77278,682835dc-8213-46d6-a765-9ba07ffb7933,5a144d3c-4d50-4680-97f1-a38462f0d772,,Pitching,22280001,,,,,,,,,,,,,,,,,,,,,,,
4,2025-09-12,14:06:39.38,"Theophilus, Zion",812173,Right,LSU_TIG,,Slider,Live,,82.68568,-1.168757993,-3.519875161,,,,5.69082,1.89894,6.38226,-37.33994,3.68592,-0.43483,1.50194,-1.37898,74.29803,-8.283455723,-3.60324724,0.4609992627,-1.01917,2.45494,-1.64546,50,5.58956,7.3945,-120.02522,-3.45382,-1.44666,29.06279,-28.68937,672212e5-39b6-4a57-bd5e-940bc9f99300,5a144d3c-4d50-4680-97f1-a38462f0d772,81.76247,Pitching,22280001,,,,,,,,,,,,,,,,,,,,,,,
5,2025-09-12,14:06:57.01,"Theophilus, Zion",812173,Right,LSU_TIG,,Slider,Live,,81.61666,-0.5655810984,-2.761189701,,,,5.7442,1.83872,,-44.17055,1.01399,0.03135,1.52303,-0.79532,73.49815,-8.680091398,-2.755389574,0.4838005214,-0.96182,0.71583,-1.54523,50,5.64283,5.69815,-118.17096,-2.77821,-1.33025,27.11901,-31.18401,a1227e58-3741-4131-b6c6-dd4e618be98e,5a144d3c-4d50-4680-97f1-a38462f0d772,,Pitching,22280001,,,,,,,,,,,,,,,,,,,,,,,
6,2025-09-12,14:07:14.39,"Theophilus, Zion",812173,Right,LSU_TIG,,Slider,Live,,82.0252,-0.6128469717,-3.70754181,,,,5.69085,1.91816,,-43.06412,3.19972,-2.5942,1.51132,-1.86988,72.68774,-8.516663144,-4.186503997,0.4895445776,-0.12241,1.86755,-1.49176,50,5.57571,7.76964,-118.37616,-2.91152,-0.16723,30.42255,-29.62271,c2e2ae11-1445-4403-aec3-a5764fdb396a,5a144d3c-4d50-4680-97f1-a38462f0d772,,Pitching,22280001,,,,,,,,,,,,,,,,,,,,,,,
7,2025-09-12,14:07:38.90,"Theophilus, Zion",812173,Right,LSU_TIG,,Fastball,Live,,91.68592,-3.325960468,-2.449528768,2182.304552,205.8704321,12:45,5.69115,1.91196,,-14.91871,20.93742,10.14776,1.2765,0.42523,81.52846,-6.089694772,-0.5598510351,0.4309760545,-6.1305,12.03476,-1.66693,50,5.33242,5.26467,-132.54941,-8.30631,-10.61729,35.33572,-11.33131,10949ce5-75ef-42ff-a0e6-57f427adce8b,5a144d3c-4d50-4680-97f1-a38462f0d772,,Pitching,22280001,,,,,,,,,,,,,,,,,,,,16.31318614,2094.446441,0.9597406735,
8,2025-09-12,14:07:56.49,"Theophilus, Zion",812173,Right,LSU_TIG,,Fastball,Live,,90.23693,-2.417087183,-3.695100816,2194.812828,206.8578118,1:00,5.77532,1.84166,5.60541,-18.21769,17.24733,8.74745,1.99511,-0.88306,80.64025,-5.851276008,-2.041907767,0.4286190896,-5.97862,10.10029,-1.53107,50,5.55681,8.14532,-130.70484,-6.14466,-10.10141,33.53417,-15.10871,616d5ba1-baf1-4270-a703-9be1860e7ae2,5a144d3c-4d50-4680-97f1-a38462f0d772,87.93924,Pitching,22280001,,,,,,,,,,,,,,,,,,,202.7754335,22.95817218,2020.961385,0.9207898548,12:45
9,2025-09-12,14:08:28.95,"Theophilus, Zion",812173,Right,LSU_TIG,,Fastball,Live,,92.24723,-3.601139873,-2.493967001,2225.183368,198.7275117,12:30,5.74139,1.68447,,-12.7817,21.76696,7.37469,1.28385,-0.04654,82.07347,-5.996673207,-1.104626959,0.4230454156,-4.80326,12.83489,-1.46027,50,5.40029,5.54452,-133.48923,-8.87643,-8.43352,35.94744,-9.6387,22ec2575-dae4-4c2c-92d3-223762c17f79,5a144d3c-4d50-4680-97f1-a38462f0d772,,Pitching,22280001,,,,,,,,,,,,,,,,,,,,18.48647356,2110.360653,0.9483985384,
10,2025-09-12,14:08:55.06,"Theophilus, Zion",812173,Right,LSU_TIG,,Fastball,Live,,92.20648,-1.175120295,-2.038540219,2222.971493,213.9519745,1:15,5.79454,1.5502,5.35988,-14.97234,19.17947,12.93163,3.44414,0.71559,82.2477,-3.994294595,0.4004162485,0.4206086957,-7.59093,10.61744,-1.37614,50,5.67873,4.29597,-133.77779,-3.28512,-13.4342,35.15886,-13.38362,bfe09710-23e5-46d0-8a50-eeb7160c55e3,5a144d3c-4d50-4680-97f1-a38462f0d772,89.61403,Pitching,22280001,,,,,,,,,,,,,,,,,,,,18.60784994,2106.764995,0.9477247013,
