PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
1,2025-08-28,00:26.7,"Garcia, Santiago",10147459,Left,LSU_TIG,,Fastball,Live,,80.28553,-0.02835468,2.879223336,2077.662711,157.9007246,11:15,5.92177,-2.34223,4.89558,-22.71923,23.3137,-9.49385,4.00165,-0.40811,71.34355,-4.278218209,1.101946719,0.488321358,6.00203,12.23066,2.06804,50,5.90077,-5.53135,-116.30064,-0.8184,8.00305,27.18923,-15.8658,6dc49404-b7c4-4067-8446-cee152278173,d03cf205-86b9-4af3-a79e-fa8b6e71774d,77.18777,Pitching,22280001,,,,,,,,,,,,,,,,,,,,-16.67575602,1990.284532,0.957944002,
2,2025-08-28,00:42.6,"Garcia, Santiago",10147459,Left,LSU_TIG,,Fastball,Live,,81.36989,-0.474654196,3.444877862,2127.652874,157.0220529,11:15,5.83956,-2.31633,5.0862,-23.32594,21.00886,-8.93783,3.4476,0.18924,72.7176,-4.837439276,1.771804165,0.479229747,5.8871,11.23403,1.99728,50,5.77699,-6.80057,-117.89308,-1.75157,8.10676,26.92025,-16.70436,348a38e7-352d-40aa-af7f-70ef442fd936,d03cf205-86b9-4af3-a79e-fa8b6e71774d,78.65213,Pitching,22280001,,,,,,,,,,,,,,,,,,,,-33.55167733,1773.159669,0.833387669,
3,2025-08-28,01:03.4,"Garcia, Santiago",10147459,Left,LSU_TIG,,Fastball,Live,,78.89101,-0.784684162,2.86732379,2072.24952,158.6363928,11:15,5.86447,-2.50457,4.90109,-25.14017,22.36865,-8.7731,3.02645,-0.52195,70.48412,-5.471487661,1.228085121,0.496087756,5.58431,11.98681,2.23125,50,5.76751,-5.43582,-114.30712,-2.39676,7.22044,25.5379,-16.67528,593788e8-0d9f-4a93-af3d-304b354def56,d03cf205-86b9-4af3-a79e-fa8b6e71774d,75.97938,Pitching,22280001,,,,,,,,,,,,,,,,,,,,-23.23922775,1904.118405,0.91886541,
4,2025-08-28,01:19.4,"Garcia, Santiago",10147459,Left,LSU_TIG,,Fastball,Live,,80.95681,-1.995727978,1.968858,2099.808975,161.8101544,11:30,5.8439,-2.24959,5.02106,-22.15127,23.05014,-7.58326,2.11304,-1.02309,71.90375,-6.143066108,0.54230917,0.483890848,4.71929,12.88047,2.06711,50,5.63591,-3.78081,-117.27498,-4.82132,6.37425,28.40722,-14.77665,9a3add11-2684-4d44-99d2-0d98b42201a0,d03cf205-86b9-4af3-a79e-fa8b6e71774d,77.89451,Pitching,22280001,,,,,,,,,,,,,,,,,,,,-23.18417885,1930.236977,0.919244084,
5,2025-08-28,03:49.6,"Garcia, Santiago",10147459,Left,LSU_TIG,,Fastball,Live,,84.33221,-2.424778118,2.999291661,2173.510393,156.6900625,11:15,5.87258,-2.07821,4.90268,-19.0242,22.84707,-9.85452,1.98982,-0.06067,74.91768,-5.976730879,1.152537433,0.465724872,6.25614,12.86465,1.79288,50,5.62009,-6.04807,-122.02177,-5.8408,9.16386,30.37698,-13.33017,8f92bd8f-6bb0-4f45-8fe6-a39e5960f6b4,1ff702ff-49fe-40c2-86fc-8c4c1e9f1c57,80.93285,Pitching,22280001,,,,,,,,,,,,,,,,,,,,,,,
6,2025-08-28,04:13.7,"Garcia, Santiago",10147459,Left,LSU_TIG,,Fastball,Live,,83.69913,-2.295780907,2.414326716,2213.972455,161.3247309,11:30,5.87453,-2.01438,5.10869,-20.51169,21.70312,-7.34399,1.99949,-0.35071,74.26976,-6.14250415,1.030715726,0.467631531,4.77504,12.32367,1.7926,50,5.64296,-4.86269,-121.20202,-5.55472,6.88342,30.50526,-14.40894,d118c1c9-c7bf-4e06-aa5f-0884c83377a6,1ff702ff-49fe-40c2-86fc-8c4c1e9f1c57,80.60286,Pitching,22280001,,,,,,,,,,,,,,,,,,,,-22.72477138,2042.104341,0.92237116,
7,2025-08-28,04:31.2,"Garcia, Santiago",10147459,Left,LSU_TIG,,Fastball,Live,,84.61076,-2.698371466,3.229089872,2215.889725,156.8780075,11:15,5.79083,-1.97547,5.3777,-18.39248,22.40343,-9.5743,1.723,0.25656,75.37976,-6.155856722,1.42230488,0.459705533,6.25524,12.90656,1.69309,50,5.53655,-6.5975,-122.50586,-6.38618,9.25377,30.18393,-13.08055,5c0e6db9-627f-481f-8f0c-66393f7ebdc6,1ff702ff-49fe-40c2-86fc-8c4c1e9f1c57,81.99257,Pitching,22280001,,,,,,,,,,,,,,,,,,,,-21.1692128,2066.357013,0.932517981,
8,2025-08-28,04:59.4,"Garcia, Santiago",10147459,Left,LSU_TIG,,Fastball,Live,,83.97835,-2.44539133,3.414448084,2145.770079,162.0186923,11:30,5.86145,-2.05051,5.17682,-18.84918,22.88375,-7.43872,1.98451,0.54579,74.79498,-5.976211442,2.016491951,0.464954935,5.15372,12.98539,1.73843,50,5.61999,-7.00206,-121.54456,-5.83283,7.506,29.68473,-13.26183,c313bae2-d63f-4e81-b3b1-f6a322c4369b,1ff702ff-49fe-40c2-86fc-8c4c1e9f1c57,81.06687,Pitching,22280001,,,,,,,,,,,,,,,,,,,,-24.40934225,1953.97319,0.910616291,
9,2025-08-28,05:16.4,"Garcia, Santiago",10147459,Left,LSU_TIG,,Fastball,Live,,84.56305,-1.965479267,2.759748277,2206.299046,158.5763536,11:15,5.85764,-1.87738,5.06876,-19.22731,22.26256,-8.74811,2.39961,-0.00273,74.82846,-5.576339242,1.111732027,0.463598934,5.6548,12.49609,1.62223,50,5.65658,-5.60192,-122.41985,-4.86364,8.30201,31.49401,-13.8281,d33bda17-8356-4c3a-a637-d774f43c0f1c,1ff702ff-49fe-40c2-86fc-8c4c1e9f1c57,81.30398,Pitching,22280001,,,,,,,,,,,,,,,,,,,,-19.00171449,2086.075236,0.945508833,
10,2025-08-28,05:31.2,"Garcia, Santiago",10147459,Left,LSU_TIG,,Fastball,Live,,85.01468,-0.501767162,1.541829379,2259.826427,167.26651,11:30,5.84887,-1.54776,5.12764,-18.8151,22.01265,-4.98333,3.80826,-0.51078,75.19505,-4.046536165,0.601526196,0.45988491,3.21244,11.83672,1.40688,50,5.7879,-3.14754,-123.25926,-1.72236,4.78354,31.81923,-14.54836,9b01fa82-4253-4bfe-ac5c-69993972b555,1ff702ff-49fe-40c2-86fc-8c4c1e9f1c57,81.96059,Pitching,22280001,,,,,,,,,,,,,,,,,,,,-19.45210548,2130.835979,0.942920197,
