PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
1,2025-09-05,14:06:48.16,"Theophilus, Zion",812173,Right,LSU_TIG,,Fastball,Live,,90.46428,-2.614762219,-2.920415933,2242.542911,208.9971687,1:00,5.68295,1.64148,4.99724,-18.81382,17.56314,9.74104,1.64198,-0.30591,80.11956,-6.138265603,-1.088400106,0.4340948168,-6.22052,10.22834,-1.36835,50,5.41685,6.31636,-130.87255,-6.67996,-10.44382,35.83719,-15.00137,f92f4e65-3333-41c7-b87c-9cf796152c70,d5dda9f1-9685-407f-a9a1-aacde7600d15,86.82997,Pitching,22280001,,,,,,,,,,,,,,,,,,,,15.97791939,2155.908656,0.9613678495,
2,2025-09-05,14:08:16.71,"Theophilus, Zion",812173,Right,LSU_TIG,,Fastball,Live,,89.84831,,,2284.110213,,,5.74495,1.83295,,,,,2.41949,-0.58486,79.23319,-4.781858415,-1.447056166,0.4439866079,-6.88616,13.50602,-1.46221,50,5.4784,7.41963,-129.7297,-5.76963,-11.35739,35.27733,-9.89848,05d8d58e-745d-4b5e-a4c8-a2f8c2ffc642,d5dda9f1-9685-407f-a9a1-aacde7600d15,,Pitching,22280001,,,,,,,,,,,,,,,,,,,,18.92784714,2160.603384,0.9459278154,
3,2025-09-05,14:08:33.27,"Theophilus, Zion",812173,Right,LSU_TIG,,Fastball,Live,,90.30189,,,2261.039485,,,5.61584,1.64317,4.95403,,,,1.58208,-0.54432,80.32814,-5.938594999,-1.804272918,0.4343122404,-3.68871,11.18552,-1.37933,50,5.33448,6.12208,-130.67607,-6.94982,-6.20368,34.56115,-13.36223,5fab1713-3891-40f0-926f-5b5a66d23236,d5dda9f1-9685-407f-a9a1-aacde7600d15,86.7865,Pitching,22280001,,,,,,,,,,,,,,,,,,,,15.60153529,2177.7323,0.9631553605,
4,2025-09-05,14:09:59.95,"Theophilus, Zion",812173,Right,LSU_TIG,,Fastball,Live,,90.99424,-1.34893218,-3.575063287,2270.031382,213.8379515,1:15,5.5233,1.64593,5.25443,-18.18921,17.10128,11.49232,2.73755,-0.7594,81.18695,-4.763893695,-1.415720584,0.4275631088,-7.32985,9.53541,-1.32649,50,5.38658,7.82082,-131.81577,-3.7664,-12.60138,33.99485,-15.78089,70ca04af-7254-4138-afe8-dc8e7845b5df,c39d5ae7-d015-43ee-8341-d35e581ab1b3,88.15643,Pitching,22280001,,,,,,,,,,,,,,,,,,,,11.30407754,2225.994387,0.9806007113,
5,2025-09-05,14:10:54.28,"Theophilus, Zion",812173,Right,LSU_TIG,,Slider,Live,,84.24243,-1.189985735,-3.780281385,2012.12104,209.3667899,1:00,5.58984,1.74243,,-38.59332,3.77168,2.14479,1.23872,-1.68134,75.58865,-8.303347599,-3.382606971,0.468462739,-2.43287,2.36959,-1.35195,50,5.4318,7.9714,-121.83759,-3.95668,-3.56823,29.35142,-28.69863,584a98d3-3cb2-4cf3-9626-03d8ae9b0ffa,c39d5ae7-d015-43ee-8341-d35e581ab1b3,,Pitching,22280001,,,,,,,,,,,,,,,,,,,,,,,
6,2025-09-05,14:11:11.77,"Theophilus, Zion",812173,Right,LSU_TIG,,Fastball,Live,,91.55687,-0.1287941116,-3.067281962,2285.626711,199.4787673,12:45,5.65995,1.50761,4.99931,-14.94448,20.25793,7.18562,4.29283,-0.79164,81.42069,-2.928549745,-1.721740994,0.4270291881,-4.85269,10.69689,-1.2185,50,5.63595,6.83748,-132.65335,-0.86182,-8.4351,34.85349,-13.58039,52cfc7b0-fb0f-4faa-a5f7-9c6a3ebe1e70,c39d5ae7-d015-43ee-8341-d35e581ab1b3,88.26666,Pitching,22280001,,,,,,,,,,,,,,,,,,,,14.51062549,2212.71794,0.9681011908,
7,2025-09-05,14:11:32.79,"Theophilus, Zion",812173,Right,LSU_TIG,,Slider,Live,,83.16275,,,,,,5.97013,2.04095,,,,,1.34291,-0.27846,75.04244,,,0.4850455057,-2.64049,0.43826,-1.70342,50,5.79842,5.47258,-120.18215,-3.79518,-3.7929,27.17497,-31.54452,9d28742c-d212-4f7d-ae5a-e967241d9f9f,c39d5ae7-d015-43ee-8341-d35e581ab1b3,,Pitching,22280001,,,,,,,,,,,,,,,,,,,,,,,
8,2025-09-05,14:11:47.94,"Theophilus, Zion",812173,Right,LSU_TIG,,Cutter,Live,,85.75128,,,2064.390428,,,6.05263,2.07461,,,,,1.78345,-2.02094,75.8252,,,0.4695513548,-6.58883,10.17573,-1.49504,50,5.75308,10.50486,-123.46839,-6.02282,-9.85075,31.78833,-16.96064,dbbfb8af-11fe-4ef4-8926-aff606e8f90e,c39d5ae7-d015-43ee-8341-d35e581ab1b3,,Pitching,22280001,,,,,,,,,,,,,,,,,,,,,,,
9,2025-09-05,14:12:13.42,"Theophilus, Zion",812173,Right,LSU_TIG,,Cutter,Live,,86.28148,-1.858147642,-3.117892175,2083.382927,168.430785,11:30,5.58868,1.60765,,-30.39184,10.90928,-2.24325,1.26964,-1.57425,76.77703,-7.435282195,-3.532046225,0.4625432187,-0.00046,6.25227,-1.25681,50,5.34998,6.87926,-124.65542,-5.25752,-0.0007,32.09429,-22.63284,090f2bd7-3da7-4348-abf7-5ad4756c29e7,c39d5ae7-d015-43ee-8341-d35e581ab1b3,,Pitching,22280001,,,,,,,,,,,,,,,,,,,,,,,
10,2025-09-05,14:12:37.70,"Theophilus, Zion",812173,Right,LSU_TIG,,Cutter,Live,,84.91395,,,2054.445125,,,5.48618,1.9289,,,,,2.86235,-1.32327,75.93779,-6.640946473,-3.001207903,0.4656684275,-3.43157,0.70701,-1.53326,50,5.52778,7.92406,-122.80623,0.08166,-5.11838,29.60249,-31.1195,97c74f44-ab43-4431-8f85-b0819b6d9429,c39d5ae7-d015-43ee-8341-d35e581ab1b3,,Pitching,22280001,,,,,,,,,,,,,,,,,,,,,,,
